tburn_s,thrust_N,empty_rocket_mass_kg,motor_dry_mass_without_tank_kg,apogee_altitude_AGL_m,rail_exit_velocity_mps
10.2,3600,18,21.6666666666667,9057.44877167685,30.4119527097736
10.2,3600,18,25,8608.27272444384,29.4643283369823
10.2,3600,20.3333333333333,15,9688.70318698905,31.7534238369339
10.2,3600,20.3333333333333,18.3333333333333,9196.50748214729,30.7060405670829
10.2,3600,20.3333333333333,21.6666666666667,8737.95192614012,29.7530846850977
10.2,3600,20.3333333333333,25,8311.37404426798,28.8442771797366
10.2,3600,22.6666666666667,15,9339.05576560863,31.0037855440811
10.2,3600,22.6666666666667,18.3333333333333,8870.52547678023,30.153136610413
10.2,3600,22.6666666666667,21.6666666666667,8434.33818034107,29.1078582002349
10.2,3600,22.6666666666667,25,8029.50659676666,28.3463388478841
10.2,3600,25,15,9006.27968850189,30.3149061124504
10.2,3600,25,18.3333333333333,8560.48665878961,29.3749419107089
10.2,3600,25,21.6666666666667,8146.26938006549,28.5119779294973
10.2,3600,25,25,7762.58305175644,27.6990407582101
10.2,3800,18,15,10658.1671234542,33.1298197001446
10.2,3800,18,18.3333333333333,10108.1717949458,32.0365083108637
10.2,3800,18,21.6666666666667,9594.73309387989,31.0367878227063
10.2,3800,18,25,9116.64924032409,30.0970692134219
10.2,3800,20.3333333333333,15,10267.5299622792,32.389325674267
10.2,3800,20.3333333333333,18.3333333333333,9743.21797055598,31.3288972426619
10.2,3800,20.3333333333333,21.6666666666667,9254.6421164137,30.376610927245
10.2,3800,20.3333333333333,25,8799.62583737274,29.4789262622351
10.2,3800,22.6666666666667,15,9895.57220076764,31.7837711916569
10.2,3800,22.6666666666667,18.3333333333333,9396.04619359727,30.6499214025776
10.2,3800,22.6666666666667,21.6666666666667,8930.93547205131,29.7535811138092
10.2,3800,22.6666666666667,25,8498.64817695638,28.8901757765374
10.2,3800,25,15,9540.8960674889,30.9330804384076
10.2,3800,25,18.3333333333333,9065.92049656198,30.1057042584116
10.2,3800,25,21.6666666666667,8623.91928680981,29.1409486669259
10.2,3800,25,25,8213.62504803591,28.4301459041366
10.2,4000,18,15,11281.2519144067,33.7157802296814
10.2,4000,18,18.3333333333333,10694.5948231957,32.6353284654215
10.2,4000,18,21.6666666666667,10148.7961984589,31.779097268389
10.2,4000,18,25,9640.1355354666,30.7029383166216
10.2,4000,20.3333333333333,15,10864.4821750645,32.9319416972817
10.2,4000,20.3333333333333,18.3333333333333,10306.7253887962,32.0670384823061
10.2,4000,20.3333333333333,21.6666666666667,9786.53669865217,30.9644266659362
10.2,4000,20.3333333333333,25,9303.59709969964,30.1597302415273
10.2,4000,22.6666666666667,15,10468.5977026551,32.3683554971652
10.2,4000,22.6666666666667,18.3333333333333,9937.34508183146,31.242171795925
10.2,4000,22.6666666666667,21.6666666666667,9443.17776850365,30.3449112070658
10.2,4000,22.6666666666667,25,8983.20804705847,29.4920825078996
10.2,4000,25,15,10091.3097111134,31.6026950662644
10.2,4000,25,18.3333333333333,9586.31156635356,30.6032547540498
10.2,4000,25,21.6666666666667,9116.27343085837,29.7540290850254
10.2,4000,25,25,8679.67622835531,28.9322028688899
11.1,3000,18,15,9104.63074938058,29.8649289785935
11.1,3000,18,18.3333333333333,8634.45607224907,28.7847006742594
11.1,3000,18,21.6666666666667,8196.84702190903,27.7997250610922
11.1,3000,18,25,7792.08325861274,27.0319827053054
11.1,3000,20.3333333333333,15,8770.08004526067,29.0968136131869
11.1,3000,20.3333333333333,18.3333333333333,8322.76143079832,28.114567358887
11.1,3000,20.3333333333333,21.6666666666667,7907.54543386058,27.145441851628
11.1,3000,20.3333333333333,25,7525.01768681673,26.2670970516515
11.1,3000,22.6666666666667,15,8451.53919625268,28.383235596613
11.1,3000,22.6666666666667,18.3333333333333,8026.85459914027,27.4215864520266
11.1,3000,22.6666666666667,21.6666666666667,7634.46625612067,26.5292524206929
11.1,3000,22.6666666666667,25,7274.08457940169,25.69953558242
11.1,3000,25,15,8149.09167229542,27.7049670994997
11.1,3000,25,18.3333333333333,7747.4028922458,26.9443260985501
11.1,3000,25,21.6666666666667,7376.86039029762,25.9458550596166
11.1,3000,25,25,7039.22160084124,25.1394278306388
11.1,3200,18,15,9730.0094980343,30.5845962501168
11.1,3200,18,18.3333333333333,9223.73981638389,29.5052931006064
11.1,3200,18,21.6666666666667,8752.0219302947,28.5290371795419
11.1,3200,18,25,8314.40279175786,27.7652762776529
11.1,3200,20.3333333333333,15,9369.69104973325,29.8283033913516
11.1,3200,20.3333333333333,18.3333333333333,8887.74593754071,28.8094378378074
11.1,3200,20.3333333333333,21.6666666666667,8439.67377330505,27.8824083342721
11.1,3200,20.3333333333333,25,8025.14036250991,27.1764623964069
11.1,3200,22.6666666666667,15,9026.90661267048,29.1041246544933
11.1,3200,22.6666666666667,18.3333333333333,8568.93829630685,28.2202528560519
11.1,3200,22.6666666666667,21.6666666666667,8143.76411131269,27.2626474631589
11.1,3200,22.6666666666667,25,7751.09359729488,26.4441523847911
11.1,3200,25,15,8700.86006789004,28.4350100585428
11.1,3200,25,18.3333333333333,8265.7586840175,27.5225604623557
